ID	Contributor	Contributor_ID	SRA_Biosample	SRA_Accessions	Already_Released_SRA	Analysis_PopulationGenetics	Analysis_GensAssociations	Analysis_Discordance	Analysis_GeneHunt_Females	IDNum	Egg	HostParents	HostParentShort	HostCommon	Species	Species_Latin	Shape	SpeciesShort	Sex	Age	Source	Latitude	Longitude	CountryFull	HostColor	HostShape	Sampling_Year	GeographicGroup	GeoColor	GeoShape	Haplogroup	HaplogroupColor	Habitat	AncestryK5	MeanCoverage	MedianCoverage	Coverage_mtDNA	Coverage_Ratio_mtDNAAutosomes	Raw_Reads_M	Mapped_Reads_M	Percent_Reads_Mapped	Raw_Bases_Gb	Mapped_Bases_Gb	Bases_Mapped_Percent
004_CB_ATP_CHN_F	Frode Fossøy & Bård Stokke	180	SAMN14427325	SRR11394188,SRR11394277,SRR11394266	Unreleased	1	1	1	0	004	E2	Sinosuthora_alphonsiana	Su. alphonsiana	Ashy-throated Parrotbill	Common cuckoo	C. c. bakeri	22	CC	F	Young	Tissue	28.1	107.0333	China	#7A0403FF	17	2008	G3	#EA4F0DFF	24	W2	#1F78B4	Savannas	K1	14.49	14	151.48	10.51944444	174.691968	171.440166	0.981385509	17.64388877	17.30482072	0.980782692
005_CB_ORW_CHN_M	Frode Fossøy & Bård Stokke	DT010	SAMN14427326	SRR11394263,SRR11394262,SRR11394261	Unreleased	1	0	0	0	005	NA	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	Common cuckoo	C. c. bakeri	22	CC	M	Young	Blood	31.509501	121.962126	China	#3E9BFEFF	16	2012	G3	#EA4F0DFF	24	W3	#B2DF8A	Wetlands	K5	18.84	18	79.92	4.260127932	226.990866	222.63021	0.980789289	22.92607747	22.47490409	0.980320516
006_CB_ATP_CHN_F	Frode Fossøy & Bård Stokke	218	SAMN14427327	SRR11394180,SRR11394178,SRR11394177	Unreleased	1	1	1	1	006	E1	Sinosuthora_alphonsiana	Su. alphonsiana	Ashy-throated Parrotbill	Common cuckoo	C. c. bakeri	22	CC	F	Young	Feather	28.1	107.0333	China	#7A0403FF	17	2008	G3	#EA4F0DFF	24	W2	#1F78B4	Savannas	K1	13.83	13	318.25	23.11183733	167.014954	163.531556	0.979143197	16.86851035	16.50752765	0.978600203
007_CB_ATP_CHN_F	Frode Fossøy & Bård Stokke	Cc	SAMN14427328	SRR11394176,SRR11394175,SRR11394174	Unreleased	1	1	1	0	007	E2	Sinosuthora_alphonsiana	Su. alphonsiana	Ashy-throated Parrotbill	Common cuckoo	C. c. bakeri	22	CC	F	Young	Blood	28.1	107.0333	China	#7A0403FF	17	2008	G3	#EA4F0DFF	24	W2	#1F78B4	Savannas	K1	13	13	51.57	3.982239382	156.955794	153.789714	0.979828206	15.85253519	15.52572654	0.979384455
008_CC_RED_FIN_M	Frode Fossøy & Bård Stokke	081_RED_FIN07_H28	SAMN14427329	SRR11394173,SRR11394172,SRR11394171	Unreleased	1	1	1	0	008	E1	Phoenicurus_phoenicurus	P. phoenicurus	Common Redstart	Common cuckoo	C. c. canorus	21	CC	M	Young	Blood	61.42	28.53	Finland	#30123BFF	18	2007	G5	#29EFA2FF	21	W1	#A6CEE3	Forest	K2	12.44	13	44.18	3.562903226	149.490738	146.755684	0.981704191	15.09856454	14.81731107	0.981372172
009_CC_RED_FIN_M	Frode Fossøy & Bård Stokke	078_RED_FIN07_Niimihandat	SAMN14427330	SRR11394170,SRR11394169,SRR11394167	Unreleased	1	1	1	0	009	E1	Phoenicurus_phoenicurus	P. phoenicurus	Common Redstart	Common cuckoo	C. c. canorus	21	CC	M	Young	Blood	61.42	28.53	Finland	#30123BFF	18	2007	G5	#29EFA2FF	21	W1	#A6CEE3	Forest	K2	13.73	14	24.89	1.819444444	165.786116	162.462766	0.979953991	16.74439772	16.40347493	0.979639591
010_CC_RED_FIN_F	Frode Fossøy & Bård Stokke	075_RED_FIN07_Lapink. III	SAMN14427331	SRR11394166,SRR11394165,SRR11394164	Unreleased	1	1	1	1	010	E1	Phoenicurus_phoenicurus	P. phoenicurus	Common Redstart	Common cuckoo	C. c. canorus	21	CC	F	Young	Blood	61.42	28.53	Finland	#30123BFF	18	2007	G5	#29EFA2FF	21	W1	#A6CEE3	Forest	K2	20.54	20	22.43	1.095749878	248.02	243.106588	0.980189452	25.05002	24.54525535	0.979849731
013_CC_GRW_HUN_F	Frode Fossøy & Bård Stokke	149_GRW_HUN07_47	SAMN14427334	SRR11394236,SRR11394235,SRR11394234	Unreleased	1	1	1	1	013	E6	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	Common cuckoo	C. c. canorus	21	CC	F	Young	Blood	47.12	19.1	Hungary	#46F884FF	15	2007	G4	#1FC8DEFF	22	W7	#FDBF6F	Croplands	K2	14.62	15	197.82	13.57721345	178.38536	172.523816	0.967141115	18.01692136	17.41811471	0.966764208
014_CC_GRW_HUN_F	Frode Fossøy & Bård Stokke	154_GRW_HUN07_225	SAMN14427335	SRR11394233,SRR11394232,SRR11394231	Unreleased	1	1	1	1	014	E6	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	Common cuckoo	C. c. canorus	21	CC	F	Young	Blood	47.12	19.1	Hungary	#46F884FF	15	2007	G4	#1FC8DEFF	22	W7	#FDBF6F	Croplands	K2	13.92	14	182.19	13.13554434	170.15872	164.77774	0.968376701	17.18603072	16.63791409	0.968106852
016_CC_GRW_HUN_F	Frode Fossøy & Bård Stokke	156_GRW_HUN07_244	SAMN14427337	SRR11394227,SRR11394225,SRR11394224	Unreleased	1	1	1	1	016	E6	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	Common cuckoo	C. c. canorus	21	CC	F	Young	Blood	47.12	19.1	Hungary	#46F884FF	15	2007	G4	#1FC8DEFF	22	W5	#FB9A99	Croplands	K2	20.54	21	332.32	16.2344895	250.023968	242.433508	0.969641071	25.25242077	24.47521238	0.96922242
